geocode,geocode_desc,total,owned,rented
37001,ALAMANCE,51584,36180,15404
37003,ALEXANDER,13137,10571,2566
37005,ALLEGHANY,4593,3624,969
37007,ANSON,9204,6990,2214
37009,ASHE,10411,8428,1983
37011,AVERY,6532,5265,1267
37013,BEAUFORT,18319,13745,4574
37015,BERTIE,7743,5797,1946
37017,BLADEN,12897,10036,2861
37019,BRUNSWICK,30438,25013,5425
37021,BUNCOMBE,85776,60295,25481
37023,BURKE,34528,25589,8939
37025,CABARRUS,49519,36998,12521
37027,CALDWELL,30768,23053,7715
37029,CAMDEN,2662,2219,443
37031,CARTERET,25204,19316,5888
37033,CASWELL,8670,6878,1792
37035,CATAWBA,55533,40284,15249
37037,CHATHAM,19741,15239,4502
37039,CHEROKEE,10336,8492,1844
37041,CHOWAN,5580,4031,1549
37043,CLAY,3847,3251,596
37045,CLEVELAND,37046,26984,10062
37047,COLUMBUS,21308,16281,5027
37049,CRAVEN,34582,23083,11499
37051,CUMBERLAND,107358,63736,43622
37053,CURRITUCK,6902,5630,1272
37055,DARE,12690,9460,3230
37057,DAVIDSON,58156,43143,15013
37059,DAVIE,13750,11454,2296
37061,DUPLIN,18267,13685,4582
37063,DURHAM,89015,48300,40715
37065,EDGECOMBE,20392,13063,7329
37067,FORSYTH,123851,81233,42618
37069,FRANKLIN,17843,13877,3966
37071,GASTON,73936,50901,23035
37073,GATES,3901,3202,699
37075,GRAHAM,3354,2773,581
37077,GRANVILLE,16654,12487,4167
37079,GREENE,6696,5001,1695
37081,GUILFORD,168667,105691,62976
37083,HALIFAX,22122,14821,7301
37085,HARNETT,33800,23752,10048
37087,HAYWOOD,23100,17869,5231
37089,HENDERSON,37414,29487,7927
37091,HERTFORD,8953,6267,2686
37093,HOKE,11373,8530,2843
37095,HYDE,2185,1713,472
37097,IREDELL,47360,35693,11667
37099,JACKSON,13191,9566,3625
37101,JOHNSTON,46595,34213,12382
37103,JONES,4061,3239,822
37105,LEE,18466,13235,5231
37107,LENOIR,23862,15984,7878
37109,LINCOLN,24041,18873,5168
37111,MCDOWELL,16604,12822,3782
37113,MACON,12828,10432,2396
37115,MADISON,8000,6130,1870
37117,MARTIN,10020,7198,2822
37119,MECKLENBURG,273416,170393,103023
37121,MITCHELL,6551,5294,1257
37123,MONTGOMERY,9848,7554,2294
37125,MOORE,30713,24157,6556
37127,NASH,33644,22792,10852
37129,NEW HANOVER,68183,44109,24074
37131,NORTHAMPTON,8691,6692,1999
37133,ONSLOW,48122,27973,20149
37135,ORANGE,45863,26415,19448
37137,PAMLICO,5178,4256,922
37139,PASQUOTANK,12907,8478,4429
37141,PENDER,16054,13260,2794
37143,PERQUIMANS,4645,3649,996
37145,PERSON,14085,10505,3580
37147,PITT,52539,30541,21998
37149,POLK,7908,6222,1686
37151,RANDOLPH,50659,38788,11871
37153,RICHMOND,17873,12857,5016
37155,ROBESON,43677,31781,11896
37157,ROCKINGHAM,36989,27259,9730
37159,ROWAN,49940,36732,13208
37161,RUTHERFORD,25191,18764,6427
37163,SAMPSON,22273,16361,5912
37165,SCOTLAND,13399,9276,4123
37167,STANLY,22223,16947,5276
37169,STOKES,17579,14431,3148
37171,SURRY,28408,21685,6723
37173,SWAIN,5137,3946,1191
37175,TRANSYLVANIA,12320,9781,2539
37177,TYRRELL,1537,1151,386
37179,UNION,43390,34937,8453
37181,VANCE,16199,10734,5465
37183,WAKE,242040,159446,82594
37185,WARREN,7708,5967,1741
37187,WASHINGTON,5367,3950,1417
37189,WATAUGA,16540,10406,6134
37191,WAYNE,42612,27853,14759
37193,WILKES,26650,20772,5878
37195,WILSON,28613,17500,11113
37197,YADKIN,14505,11643,2862
37199,YANCEY,7472,5996,1476
