geocode,geocode_desc,median_age_b,median_age_m,median_age_f
3700160,ABERDEEN,35.7,34,37.7
3700440,ADVANCE,45.3,43.6,46.5
3700500,AHOSKIE,39.5,35.7,42
3700640,ALAMANCE,40.2,40.2,40.2
3700680,ALBEMARLE,39.6,37,41.8
3701000,ALLIANCE,47,43.3,49.6
3701140,ALTAMAHAW,43.3,44.8,41
3701380,ANDREWS,42.9,39.9,47.6
3701400,ANGIER,34.3,32.2,36.3
3701420,ANSONVILLE,42.3,41.3,44.3
3701520,APEX,34.3,33.1,35.3
3701560,AQUADALE,41.5,40.4,42.5
3701640,ARAPAHOE,40.5,39.4,42.5
3701720,ARCHDALE,40,38.7,41.4
3701760,ARCHER LODGE,34.1,34.5,33.7
3702080,ASHEBORO,34,32.5,35.4
3702140,ASHEVILLE,38.2,36.5,39.9
3702240,ASHLEY HEIGHTS,38.6,38.3,38.7
3702320,ASKEWVILLE,43.4,35.8,49
3702460,ATKINSON,41.9,41.7,42.3
3702480,ATLANTIC,52.2,51.3,52.9
3702500,ATLANTIC BEACH,50,49.5,50.7
3702580,AULANDER,42.5,40.2,45.2
3702620,AURORA,44.7,41.1,47.4
3702700,AUTRYVILLE,42.7,43.5,42.5
3702760,AVERY CREEK,39,37.7,39.9
3702780,AVON,50.1,50,50.2
3702840,AYDEN,40.6,36.9,44.1
3702960,BADIN,39.6,38.6,42.3
3703020,BAILEY,39.6,37.6,42.5
3703100,BAKERSVILLE,45.8,40.3,49.2
3703150,BALD HEAD ISLAND,64,64.9,63.3
3703220,BALFOUR,39.7,38,43.1
3703500,BANNER ELK,22,22.4,21.9
3703640,BARKER HEIGHTS,31.9,31,32.9
3703665,BARKER TEN MILE,47.3,46.9,47.6
3703840,BATH,56.8,54.8,58.1
3703960,BAYBORO,38.9,37.3,49.4
3704015,BAYSHORE,39.5,39.2,39.7
3704040,BAYVIEW,51,49.5,52.2
3704180,BEAR GRASS,51.3,57.5,47.8
3704260,BEAUFORT,46.8,44.5,48.7
3704510,BEECH MOUNTAIN,52,51.7,52.5
3704640,BELHAVEN,45.8,42.8,48
3704680,BELL ARTHUR,39.8,37.7,40.9
3704840,BELMONT,37,35.2,38.5
3704950,BELVILLE,35,34.9,35.2
3704955,BELVOIR,37.1,33.8,39.5
3704960,BELWOOD,41.3,40.7,42.1
3705020,BENNETT,44.6,40.9,48.8
3705040,BENSON,37.9,34.8,40.1
3705049,BENT CREEK,43.2,41,45.7
3705135,BERMUDA RUN,65.1,65.3,64.9
3705220,BESSEMER CITY,37,36.2,37.6
3705340,BETHANIA,51.3,51.3,51.3
3705460,BETHEL,43.9,40.2,47.7
3705530,BETHLEHEM,45.5,44.7,46.2
3705660,BEULAVILLE,45.2,41.9,47.1
3705880,BILTMORE FOREST,54.1,53.9,54.2
3706000,BISCOE,33.3,30.1,36.7
3706080,BLACK CREEK,36.7,35,37.8
3706140,BLACK MOUNTAIN,47.7,45.4,49.8
3706240,BLADENBORO,40.7,39.5,42.2
3706500,BLOWING ROCK,58.9,58,59.7
3706510,BLUE CLAY FARMS,49.5,45.5,51.5
3706660,BOARDMAN,50.2,47.5,50.6
3706740,BOGUE,44.4,45.2,43.7
3706760,BOILING SPRING LAKES,41.2,40.2,42.3
3706800,BOILING SPRINGS,24.4,23.6,25.1
3706820,BOLIVIA,46.2,42,51.5
3706860,BOLTON,40.6,37.8,43.1
3706980,BONNETSVILLE,37.3,36.8,38.5
3707080,BOONE,21.5,21.7,21.3
3707140,BOONVILLE,42.1,40.3,43.4
3707220,BOSTIC,42,41.8,42.1
3707400,BOWMORE,40.5,45,36.5
3707720,BREVARD,46.9,41.4,50.9
3707765,BRICES CREEK,41.9,41.9,41.9
3707860,BRIDGETON,44,43,44.7
3708040,BROAD CREEK,39.9,38.3,41.9
3708080,BROADWAY,43.3,41.3,44.9
3708110,BROGDEN,37.4,34.9,39.6
3708140,BROOKFORD,46.3,41.5,48.1
3708420,BRUNSWICK,36.5,36.4,38.5
3708480,BRYSON CITY,42.2,39.8,43.6
3708760,BUIES CREEK,20.9,21,20.8
3708860,BUNN,48,44.7,49
3708880,BUNNLEVEL,42,41.5,43.1
3708960,BURGAW,39.5,38.5,41.2
3709060,BURLINGTON,38.3,36.5,39.8
3709140,BURNSVILLE,45.6,41.6,50.6
3709360,BUTNER,36.9,35.3,38.2
3709380,BUTTERS,41.6,42.5,40.4
3709400,BUXTON,39.8,37.6,41.7
3709530,CAJAH'S MOUNTAIN,42.7,42.5,43.1
3709540,CALABASH,50.8,48.4,54.1
3709760,CALYPSO,38.6,38,38.8
3709780,CAMDEN,41.2,39.9,42.3
3709800,CAMERON,43.4,40.5,44
3710120,CANDOR,35.1,33.7,36.3
3710240,CANTON,40.9,39.4,42.5
3710260,CAPE CARTERET,48.8,46.5,50.6
3710460,CAROLEEN,41.4,39.5,43.8
3710500,CAROLINA BEACH,43.9,42.4,45.3
3710550,CAROLINA SHORES,64.9,65.3,64.3
3710620,CARRBORO,30.1,30.1,30.1
3710680,CARTHAGE,42.6,39.4,46.2
3710740,CARY,36.6,35.9,37.3
3710760,CASAR,41.4,40.5,42.5
3710800,CASHIERS,51.6,45.5,54.2
3710860,CASTALIA,40.6,36.5,45.3
3710880,CASTLE HAYNE,39.2,38.3,40.9
3710960,CASWELL BEACH,63,63.5,62.5
3710980,CATAWBA,46.2,44.3,47.2
3711340,CEDAR POINT,45.8,45.3,46
3711352,CEDAR ROCK,57.8,56.3,58.4
3711560,CENTERVILLE,41.5,36.5,48.5
3711620,CERRO GORDO,38.3,36.2,40
3711640,CHADBOURN,39.5,35.4,41.8
3711800,CHAPEL HILL,25.6,25.7,25.5
3712000,CHARLOTTE,33.2,32.2,34.2
3712140,CHEROKEE,33.6,31.7,36.4
3712340,CHERRYVILLE,41.7,39.1,43.9
3712460,CHIMNEY ROCK VILLAGE,53.3,53,53.5
3712480,CHINA GROVE,37.9,36.3,39.6
3712580,CHOCOWINITY,42.6,39.4,45.8
3712720,CLAREMONT,40.2,38.7,42.2
3712780,CLARKTON,38.8,38.8,38.8
3712860,CLAYTON,33.4,31.8,34.9
3712960,CLEMMONS,40.6,39.4,41.8
3713000,CLEVELAND,34.8,33.6,35.3
3713100,CLIFFSIDE,41.8,41.6,42
3713240,CLINTON,42.1,39.4,45.6
3713280,CLYDE,38.3,37.3,38.8
3713360,COATS,34.2,33,35
3713460,COFIELD,43.1,40.5,45.8
3713500,COINJOCK,42.8,40.8,43.5
3713560,COLERAIN,49,45.8,52.4
3713940,COLUMBIA,42.9,37,46.3
3713980,COLUMBUS,44.5,41.1,47.5
3714060,COMO,42.5,45.5,42.3
3714100,CONCORD,34.9,33.8,35.8
3714200,CONETOE,43.8,37.3,46.8
3714280,CONNELLY SPRINGS,42.8,43.1,42.3
3714340,CONOVER,39.8,38.2,41.5
3714400,CONWAY,38.2,37.5,38.5
3714460,COOLEEMEE,39.5,38.6,40.1
3714600,CORDOVA,38.7,38.3,39.1
3714700,CORNELIUS,37.9,37.3,38.3
3715020,COVE CITY,47.8,45.5,49.7
3715040,COVE CREEK,41,41.4,40.5
3715260,CRAMERTON,40.1,38.8,41.7
3715320,CREEDMOOR,36.6,35.4,37.8
3715420,CRESWELL,42.5,38.7,43.7
3715440,CRICKET,39.3,38.3,40.7
3715580,CROSSNORE,27,26.5,27.5
3715880,CULLOWHEE,21,21.4,20.7
3716180,DALLAS,34.9,33.7,35.9
3716220,DANA,36.6,36,37.2
3716240,DANBURY,31.7,31.1,34.7
3716400,DAVIDSON,35.7,33.4,37.1
3716480,DAVIS,47.4,45.8,48.5
3716730,DEERCROFT,54.3,55,53.9
3716780,DELCO,43.3,46,40.7
3716820,DELLVIEW,46.5,24.5,49.5
3716860,DELWAY,37.8,33.8,44.5
3716980,DENTON,39.8,39,40.4
3717000,DENVER,39.5,37.8,41
3717180,DILLSBORO,47.5,41,50
3717325,DOBBINS HEIGHTS,41.4,38.3,42.9
3717340,DOBSON,36.1,33.8,39
3717520,DORTCHES,45.9,43.9,48
3717660,DOVER,40.1,38.5,41.4
3717860,DREXEL,43.6,40.3,46.2
3718040,DUBLIN,38.8,40,37
3718060,DUCK,58.6,57.5,59.8
3718300,DUNDARRACH,51.5,49,52.5
3718320,DUNN,41,37.6,44.4
3719000,DURHAM,32.1,31.2,32.9
3719140,EARL,41.3,40.5,43
3719300,EAST ARCADIA,38.1,31.3,43.1
3719320,EAST BEND,39.4,38.5,40.7
3719420,EAST FLAT ROCK,37.6,35.5,39.7
3719620,EAST LAURINBURG,41.7,39,45.3
3719740,EASTOVER,44.9,43.7,45.9
3719800,EAST ROCKINGHAM,37.6,36.3,39
3719860,EAST SPENCER,36,33.8,38.6
3720080,EDEN,41.2,39.3,43
3720120,EDENTON,43.1,38.8,46.1
3720280,EDNEYVILLE,35.3,35.4,35.2
3720420,EFLAND,40.3,41,39.6
3720580,ELIZABETH CITY,31.3,29.3,33.2
3720600,ELIZABETHTOWN,44.8,39.9,48.1
3720620,ELKIN,42.4,39,46.1
3720700,ELK PARK,44.9,41.5,46.9
3720780,ELLENBORO,34.9,34.2,36.4
3720840,ELLERBE,36.6,34.8,38.2
3720980,ELM CITY,47.1,43.8,48.8
3721095,ELON,21.8,21.9,21.7
3721120,ELROD,41.6,39.5,43
3721130,ELROY,38,36.3,39.2
3721160,EMERALD ISLE,52.2,50.1,53.7
3721360,ENFIELD,40,35,43
3721380,ENGELHARD,40.5,42.2,38.5
3721500,ENOCHVILLE,42.2,41.9,42.7
3721740,ERWIN,40.1,38.3,42.3
3721880,ETOWAH,50.7,49.5,52.1
3721960,EUREKA,53.2,49.5,58
3722040,EVERETTS,49,49.5,47.8
3722080,EVERGREEN,43,39,46.2
3722240,FAIR BLUFF,46.8,44,48.1
3722280,FAIRFIELD,48,49.4,47.3
3722305,FAIRFIELD HARBOUR,63.5,64.3,62.8
3722360,FAIRMONT,42.5,40,45.1
3722380,FAIRPLAINS,39.8,39.5,40.2
3722440,FAIRVIEW,43.2,41.8,44.8
3722500,FAIRVIEW,42.6,42.2,43
3722560,FAISON,34.4,32.3,36.5
3722600,FAITH,41.4,41.3,41.4
3722620,FALCON,27,28,26.5
3722640,FALKLAND,40.5,41,40.5
3722720,FALLSTON,37.9,36,39.4
3722820,FARMVILLE,42.5,38.9,45.3
3722920,FAYETTEVILLE,29.9,28.2,31.9
3722982,FEARRINGTON VILLAGE,72.3,73.1,71.5
3723520,FIVE POINTS,38,36.6,38.9
3723600,FLAT ROCK,64,64.6,63.6
3723640,FLAT ROCK,42.3,41.2,43.5
3723760,FLETCHER,39.2,38.3,40.2
3724080,FOREST CITY,40,36.9,42
3724170,FOREST HILLS,43.9,38.3,45.6
3724198,FOREST OAKS,46.8,46,47.4
3724380,FOSCOE,41.8,40,43.9
3724440,FOUNTAIN,44.1,41.3,45.4
3724520,FOUR OAKS,37.6,34.4,40.3
3724570,FOXFIRE,54.1,54.2,54
3724640,FRANKLIN,40.5,36.6,45.7
3724720,FRANKLINTON,41.4,40.2,43.3
3724740,FRANKLINVILLE,32.9,31.6,33.8
3724900,FREMONT,47.2,46.3,48.1
3725020,FRISCO,50,49.2,51.3
3725160,FRUITLAND,42.4,40.7,45.3
3725300,FUQUAY-VARINA,34.2,32.8,35.4
3725380,GAMEWELL,41.5,40.3,43.1
3725460,GARLAND,40.9,36.5,44.9
3725480,GARNER,37.1,35.4,38.6
3725540,GARYSBURG,44.7,37.4,47
3725560,GASTON,41.9,40.1,42.7
3725580,GASTONIA,38,36.4,39.4
3725680,GATESVILLE,46.6,44,48.3
3725880,GERMANTON,47.8,47.2,48.5
3725900,GERTON,47.8,46.1,49.2
3725940,GIBSON,37.3,32.3,38.8
3725980,GIBSONVILLE,38.4,36.9,39.9
3726200,GLEN ALPINE,39.6,39.1,40.1
3726460,GLEN RAVEN,37.3,36.1,38.1
3726520,GLENVILLE,55.3,55.8,53.8
3726680,GLOUCESTER,44,43.1,45.9
3726740,GODWIN,43.8,46.8,43.3
3726880,GOLDSBORO,36.1,32.7,39.5
3726920,GOLDSTON,49,49.1,48.9
3727120,GORMAN,38.9,38.4,40.2
3727280,GRAHAM,37.5,35.7,39.2
3727320,GRANDFATHER,71.5,65.5,74
3727420,GRANITE FALLS,38.9,37.3,40.4
3727440,GRANITE QUARRY,38.1,37,39.1
3727520,GRANTSBORO,42.4,42.2,43
3727780,GREENEVERS,34.3,34.3,34.3
3727870,GREEN LEVEL,35.4,33.8,37
3728000,GREENSBORO,33.4,32.1,34.6
3728080,GREENVILLE,26,25.7,26.4
3728200,GRIFTON,38.8,36.5,40.2
3728240,GRIMESLAND,38.5,37.3,39.3
3728400,GROVER,36.1,33.3,38.4
3728600,GULF,42.5,40.5,46.3
3728900,HALF MOON,27.8,27,28.7
3728920,HALIFAX,43,40.5,43.7
3729000,HALLSBORO,43.3,39,46.4
3729120,HAMILTON,47.3,46,49.4
3729160,HAMLET,37,35.4,38.2
3729180,HAMPSTEAD,42.6,42.6,42.6
3729560,HARKERS ISLAND,53.8,53.9,53.7
3729640,HARMONY,40.4,38.3,43.1
3729680,HARRELLS,44.5,37.5,49.8
3729720,HARRELLSVILLE,46.5,44.5,47.5
3729800,HARRISBURG,37.3,36.1,38.3
3730040,HASSELL,46,49.5,43
3730100,HATTERAS,46.8,44.9,47.5
3730120,HAVELOCK,23.5,22.9,24.5
3730260,HAW RIVER,38.5,38.6,38.5
3730280,HAYESVILLE,45.8,42.5,48.7
3730340,HAYS,39.5,38.4,40.9
3730620,HEMBY BRIDGE,39.6,38.6,40.8
3730660,HENDERSON,38.6,35,41.5
3730720,HENDERSONVILLE,48.7,42.6,53.3
3730800,HENRIETTA,40.7,41.4,37.5
3730900,HERTFORD,38.6,35.5,40.8
3731060,HICKORY,37.7,36.2,39
3731260,HIDDENITE,43.3,42,44
3731360,HIGHLANDS,56.6,53.3,59.3
3731400,HIGH POINT,35.8,34.4,37.1
3731440,HIGH SHOALS,37,35.5,37.4
3731490,HIGHTSVILLE,42,42.4,39.3
3731500,HILDEBRAN,42,40.4,43.6
3731620,HILLSBOROUGH,38.2,36.4,40.1
3731660,HILLSDALE,39,36,43.4
3731860,HOBGOOD,50.5,47.5,51.8
3731880,HOBUCKEN,53.3,53.7,49
3731920,HOFFMAN,36.4,37.6,35.4
3731960,HOLDEN BEACH,62.1,62.1,62.1
3732100,HOLLISTER,40.7,36.4,42.9
3732180,HOLLY RIDGE,30.1,29.3,30.8
3732260,HOLLY SPRINGS,33.1,32.6,33.4
3732540,HOOKERTON,39.8,39.1,40.6
3732580,HOOPERS CREEK,41.4,39.5,43.3
3732640,HOPE MILLS,31.9,29.6,33.7
3732740,HORSE SHOE,48.1,47.1,48.7
3732840,HOT SPRINGS,44,41.8,46.5
3732980,HUDSON,40.1,38,41.9
3733120,HUNTERSVILLE,35.2,34.6,35.6
3733320,ICARD,42.1,40.6,43
3733460,INDIAN BEACH,59.7,61.8,58.6
3733560,INDIAN TRAIL,33.7,32.8,34.3
3733640,INGOLD,30.4,30.8,29.8
3733820,IRON STATION,43.8,43.3,44.2
3733940,IVANHOE,44.7,44.3,44.9
3733993,JAARS,43.5,41.7,45.5
3734000,JACKSON,49.6,43.4,54.3
3734038,JACKSON HEIGHTS,41.3,39,44.5
3734200,JACKSONVILLE,22.9,22.3,25.1
3734260,JAMES CITY,40.6,38.2,42.4
3734300,JAMESTOWN,45.3,44.5,46.2
3734320,JAMESVILLE,39.7,39.8,39.6
3734440,JEFFERSON,45.3,39,52.7
3734840,JONESVILLE,41.1,39.5,42.9
3735200,KANNAPOLIS,35.6,34.2,37
3735340,KEENER,37.7,37.9,37.3
3735360,KELFORD,39.3,32.3,41
3735440,KELLY,48.8,48.8,49
3735460,KENANSVILLE,50.3,48,52.3
3735540,KENLY,41,37.6,44.2
3735600,KERNERSVILLE,38.5,37.1,39.6
3735720,KILL DEVIL HILLS,37.8,37.3,38.7
3735760,KING,43.4,41,45
3735870,KINGS GRANT,37.4,35.3,39.6
3735880,KINGS MOUNTAIN,40.6,38.3,42.4
3735890,KINGSTOWN,39.3,35,42.1
3735920,KINSTON,43.7,39.8,46.2
3736020,KITTRELL,20.5,20.7,20.3
3736060,KITTY HAWK,45.4,44.6,46.2
3736080,KNIGHTDALE,32.6,31.6,33.7
3736220,KURE BEACH,53.6,53.9,53.3
3736400,LA GRANGE,43.2,39.2,46.2
3736480,LAKE JUNALUSKA,52.9,50.6,54.5
3736500,LAKE LURE,62.4,62.5,62.3
3736511,LAKE NORMAN OF CATAWBA,46.5,46.4,46.5
3736512,LAKE PARK,38.6,36,40.2
3736513,LAKE ROYALE,45,44,45.9
3736514,LAKE SANTEETLAH,69.5,64.5,70.3
3736640,LAKE WACCAMAW,48.4,48.3,48.6
3736860,LANDIS,39.6,38.3,41.2
3736960,LANSING,41,42,40.7
3737000,LASKER,47.7,46.8,49.8
3737040,LATTIMORE,23.2,23.4,22.9
3737120,LAUREL HILL,40.6,40.4,40.7
3737160,LAUREL PARK,61.6,59.9,62.5
3737220,LAURINBURG,37.7,34.3,40.2
3737260,LAWNDALE,42.1,41.4,42.6
3737640,LEGGETT,51,51,52
3737680,LELAND,38.9,38,39.8
